Name,Density
Far North,9.47
Whangarei,33.08
Kaipara,7.24
Auckland,335.47
Thames-Coromandel,13.14
Hauraki,15.63
Waikato,16.72
Matamata-Piako,19.77
Hamilton,1503.64
Waipa,36.05
Otorohanga,5.05
South Waikato,13.30
Waitomo,2.75
Taupo,5.81
Western Bay of Plenty,25.12
Tauranga,952.90
Rotorua,29.76
Whakatane,7.98
Kawerau,288.75
Opotiki,2.92
Gisborne,5.78
Wairoa,2.01
Hastings,15.29
Napier,590.48
Central Hawke's Bay,4.16
New Plymouth,36.60
Stratford,4.36
South Taranaki,7.83
Ruapehu,1.89
Whanganui,18.75
Rangitikei,3.35
Manawatu,11.40
Palmerston North,221.01
Tararua,4.08
Horowhenua,30.55
Kapiti Coast,72.09
Porirua,320.57
Upper Hutt,80.00
Lower Hutt,278.46
Wellington,733.45
Masterton,10.96
Carterton,7.68
South Wairarapa,4.29
Tasman,5.31
Nelson,121.23
Marlborough,4.42
Buller,1.28
Grey,3.89
Westland,0.74
Kaikoura,1.81
Hurunui,1.48
Waimakariri,26.70
Christchurch,269.61
Selwyn,9.29
Ashburton,5.52
Timaru,17.23
Mackenzie,0.64
Waimate,2.22
Chatham Islands Territory,0.81
Waitaki,3.12
Central Otago,2.04
Queenstown-Lakes,4.26
Dunedin,39.18
Clutha,2.77
Southland,1.05
Gore,9.93
Invercargill,140.87
